                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 2.6868,                 5.5743,                 1.2846,                 2.5969,                 7.5469,                 1.1801,                0.34864,                0.40375,                0.31964,                0.09648,                 2.5435,                 4.9432,                 1.2434,                 2.3996,                 7.2057,                 1.1665,             0.00010445,             0.00010445,             0.00010445
                     61,                 2.7642,                 5.4968,                 1.2839,                 2.6534,                 7.4729,                 1.1739,                0.38329,                0.42672,                0.33949,                0.10883,                 2.5108,                 4.7716,                  1.241,                 2.3345,                 7.0866,                  1.165,             0.00010422,             0.00010422,             0.00010422
                     62,                 2.6673,                 5.7139,                 1.2625,                 2.5601,                 7.7143,                 1.1557,                0.36588,                0.40517,                0.33632,                0.10237,                   2.52,                 4.7638,                 1.2502,                 2.3757,                 7.0471,                 1.1597,             0.00010398,             0.00010398,             0.00010398
                     63,                 2.6505,                  5.439,                 1.2851,                 2.5488,                 7.4476,                 1.1706,                0.37856,                0.43103,                0.35405,                0.11245,                 2.4861,                 4.7171,                  1.247,                  2.263,                 6.9477,                 1.1733,             0.00010375,             0.00010375,             0.00010375
                     64,                 2.6514,                 5.4256,                 1.2615,                 2.5649,                 7.1965,                 1.1723,                0.38619,                0.43103,                0.34323,                0.10995,                 2.4779,                 4.6635,                 1.2409,                 2.3358,                 6.9689,                   1.19,             0.00010351,             0.00010351,             0.00010351
                     65,                 2.6362,                 5.2938,                 1.2565,                 2.5212,                 7.0098,                 1.1389,                0.36576,                 0.4181,                 0.3311,                0.10639,                 2.4917,                 4.5902,                 1.2405,                 2.3504,                 6.8787,                 1.1659,             0.00010328,             0.00010328,             0.00010328
                     66,                  2.631,                 5.3021,                 1.2672,                 2.5501,                 7.2789,                 1.1566,                0.38745,                0.38362,                 0.3341,                0.10499,                 2.5328,                 4.6235,                 1.2403,                   2.37,                 6.8785,                 1.1669,             0.00010305,             0.00010305,             0.00010305
                     67,                 2.6614,                 5.4169,                 1.2678,                 2.5646,                 7.4499,                 1.1685,                0.38234,                0.45259,                0.34708,                0.11369,                 2.5482,                 4.5765,                  1.245,                 2.4468,                 6.7672,                 1.1664,             0.00010281,             0.00010281,             0.00010281
                     68,                 2.6322,                 5.3634,                 1.2793,                 2.4799,                 7.1999,                 1.1607,                0.41974,                 0.4181,                0.38591,                0.12082,                 2.4757,                 4.4747,                  1.223,                 2.3818,                 6.6112,                 1.1523,             0.00010258,             0.00010258,             0.00010258
                     69,                  2.662,                 5.1891,                   1.25,                 2.5595,                 6.9701,                 1.1532,                0.41813,                0.43966,                0.36292,                0.11823,                 2.4936,                 4.4474,                 1.2436,                 2.4303,                 6.6472,                 1.1766,             0.00010235,             0.00010235,             0.00010235
