                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                 2.9787,                 5.6156,                 0.9949,                0.39787,                0.48276,                0.36081,                0.11054,                  2.675,                 4.8481,                0.94135,             9.3701e-05,             9.3701e-05,             9.3701e-05
                    107,                 2.8205,                 5.5667,                0.97519,                0.37458,                0.51293,                0.36626,                0.10777,                 2.6772,                 4.8489,                0.93146,             9.3468e-05,             9.3468e-05,             9.3468e-05
                    108,                 2.9081,                 5.5869,                0.97067,                0.39124,                0.50431,                0.32895,                0.10758,                  2.614,                 4.6743,                0.93871,             9.3234e-05,             9.3234e-05,             9.3234e-05
                    109,                 2.8052,                 5.3725,                0.96488,                0.38737,                0.50967,                0.37385,                0.11281,                 2.6243,                 4.6667,                 0.9336,             9.3001e-05,             9.3001e-05,             9.3001e-05
                    110,                 2.8238,                  5.573,                0.97304,                0.41638,                0.48707,                0.36831,                0.11759,                 2.5967,                 4.6769,                0.92949,             9.2767e-05,             9.2767e-05,             9.2767e-05
                    111,                 2.9243,                 5.5646,                0.95756,                0.39167,                0.48276,                0.33588,                0.10391,                 2.6526,                  4.724,                0.93614,             9.2533e-05,             9.2533e-05,             9.2533e-05
                    112,                 2.8575,                 5.5418,                0.98627,                0.40779,                    0.5,                0.35375,                0.09992,                  2.715,                 4.7099,                0.95379,               9.23e-05,               9.23e-05,               9.23e-05
                    113,                 2.7744,                 5.6244,                0.96783,                0.38644,                0.51724,                0.32276,                0.09412,                 2.6626,                 4.7181,                0.93859,             9.2066e-05,             9.2066e-05,             9.2066e-05
                    114,                 2.8229,                 5.4474,                0.97086,                0.40609,                0.53049,                0.37069,                0.11781,                 2.5817,                  4.644,                0.92405,             9.1832e-05,             9.1832e-05,             9.1832e-05
                    115,                 2.8022,                 5.2283,                0.95684,                0.43905,                0.49569,                0.39375,                0.11591,                 2.6646,                 4.6718,                0.93038,             9.1599e-05,             9.1599e-05,             9.1599e-05
