arrived,arrive,VERB,VBN,relcl,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
New,New,PROPN,NNP,compound,Xxx,True,False
Zealand,Zealand,PROPN,NNP,pobj,Xxxxx,True,False
and,and,CCONJ,CC,cc,xxx,True,True
there,there,PRON,EX,expl,xxxx,True,True
would,would,AUX,MD,aux,xxxx,True,True
be,be,AUX,VB,conj,xx,True,True
an,an,DET,DT,det,xx,True,True
end,end,NOUN,NN,attr,xxx,True,False
to,to,ADP,IN,prep,xx,True,True
MIQ,MIQ,PROPN,NNP,compound,XXX,True,False
-,-,PUNCT,HYPH,punct,-,False,False
people,people,NOUN,NNS,pobj,xxxx,True,False
could,could,AUX,MD,aux,xxxx,True,True
instead,instead,ADV,RB,advmod,xxxx,True,False
do,do,VERB,VB,ccomp,xx,True,True
it,it,PRON,PRP,dobj,xx,True,True
at,at,ADP,IN,prep,xx,True,True
home,home,NOUN,NN,pobj,xxxx,True,False
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
Robertson,Robertson,PROPN,NNP,nsubj,Xxxxx,True,False
said,say,VERB,VBD,ROOT,xxxx,True,False
today,today,NOUN,NN,npadvmod,xxxx,True,False,2024-04-09
that,that,SCONJ,IN,mark,xxxx,True,True
public,public,ADJ,JJ,amod,xxxx,True,False
health,health,NOUN,NN,compound,xxxx,True,False
officials,official,NOUN,NNS,nsubj,xxxx,True,False
were,be,AUX,VBD,ccomp,xxxx,True,True
confident,confident,ADJ,JJ,acomp,xxxx,True,False
about,about,ADP,IN,prep,xxxx,True,True
the,the,DET,DT,det,xxx,True,True
situation,situation,NOUN,NN,pobj,xxxx,True,False
of,of,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
Covid,covid,ADJ,JJ,amod,Xxxxx,True,False
outbreak,outbreak,NOUN,NN,pobj,xxxx,True,False
in,in,ADP,IN,prep,xx,True,True
Auckland,Auckland,PROPN,NNP,pobj,Xxxxx,True,False
.,.,PUNCT,.,punct,.,False,False

,
,SPACE,_SP,dep,
,False,False
He,he,PRON,PRP,nsubj,Xx,True,True
acknowledged,acknowledge,VERB,VBD,ROOT,xxxx,True,False
that,that,SCONJ,IN,mark,xxxx,True,True
a,a,DET,DT,det,x,True,True
lot,lot,NOUN,NN,nsubj,xxx,True,False
of,of,ADP,IN,prep,xx,True,True
the,the,DET,DT,det,xxx,True,True
