date,Temp,Rain,RH,WD,WS,Solar,Lag1,Pak_PM10
4-Jul-11,14.21,0,65.51,195.96,1.64,359.77,10.81,12.56
5-Jul-11,13.71,0,64.78,238.81,2.75,263.37,12.56,12.82
6-Jul-11,14.54,0,65.32,217.42,1.84,281.55,12.82,17.17
7-Jul-11,20.17,0,64,158.77,0.6,291.34,17.17,15.38
8-Jul-11,19.63,0,65.66,228.25,2.23,310.62,15.38,17.5
9-Jul-11,17.13,0,60.75,181.95,0.44,224.82,17.5,29.34
10-Jul-11,15,0,67.53,238.41,2.45,113.03,29.34,28.19
11-Jul-11,18.17,0,66.7,74.37,1.02,214.95,28.19,18.19
12-Jul-11,15.54,0,62.44,215.42,2.25,254.21,18.19,18.51
13-Jul-11,12.13,0.02,64.7,191.16,1.22,234.54,18.51,22.74
14-Jul-11,21.25,0,62.4,121.66,0.74,292.42,22.74,18.01
15-Jul-11,13.46,0.01,67.81,238.45,2.96,157.6,18.01,13.4
16-Jul-11,11.88,0,65.94,179.3,0.47,234.29,13.4,16.7
17-Jul-11,13.33,0,63.13,211.31,1.28,165.78,16.7,29.53
18-Jul-11,13.33,0,68.24,191.6,0.37,148.75,29.53,27.87
19-Jul-11,12.71,0,70.63,209.12,1.85,108.34,27.87,21.51
20-Jul-11,12.42,0,63.04,169.78,1.16,101.59,21.51,9.71
21-Jul-11,20.08,0,67.77,217.97,2.83,275.12,9.71,8.27
22-Jul-11,16.58,0,64.75,221.29,1.4,427.65,8.27,5.82
23-Jul-11,17.21,0,65.47,234.53,3.29,354.42,5.82,7.88
24-Jul-11,22.21,0,64.59,97.88,0.65,338.78,7.88,13.59
25-Jul-11,14.21,0.02,67.87,158.55,1.41,253.32,13.59,11.6
26-Jul-11,16.75,0,62.32,219.21,2.16,269.65,11.6,16.45
27-Jul-11,11.79,0,64.3,169.84,0.98,100.55,16.45,9.61
28-Jul-11,18.67,0,67.13,202.58,1.63,147.25,9.61,11.48
29-Jul-11,15,0.02,66.52,210.07,1.8,106,11.48,11.7
30-Jul-11,19.17,0,64.75,121,0.58,295.59,11.7,16.75
31-Jul-11,13.5,0,66.94,73.29,1.62,151.59,16.75,24.34
1-Aug-11,16.08,0,58.7,213,1.15,304.02,24.34,24.95
2-Aug-11,11.92,0.02,72.75,234.38,3.53,121.46,24.95,14.45
3-Aug-11,19.92,0,57.64,253.42,1.3,377.23,14.45,15.51
4-Aug-11,15,0,64,207.59,1.32,266.62,15.51,16.54
5-Aug-11,13.71,0.02,66.32,262.43,2.28,186.75,16.54,22.05
6-Aug-11,15.13,0.01,68.71,198.78,1.44,103.33,22.05,20.86
7-Aug-11,17.04,0,67.91,186.15,0.76,269.04,20.86,19.8
8-Aug-11,19.08,0,61.22,177.22,0.63,131.95,19.8,24.34
9-Aug-11,17.83,0,66.93,214.71,1.23,180.21,24.34,14.09
10-Aug-11,18.75,0,63.89,244.42,2.13,245.88,14.09,10.3
11-Aug-11,13.33,0.01,64.35,250.19,2.51,208.02,10.3,9.31
12-Aug-11,19.08,0,64.84,199.09,1.28,347.76,9.31,16.44
13-Aug-11,14.54,0,65.56,37.46,1.88,142.23,16.44,19.18
14-Aug-11,15.67,0,72.5,241.01,1.74,165.82,19.18,15.05
15-Aug-11,19.83,0,63.21,256.54,1.95,260.75,15.05,13.91
16-Aug-11,20.75,0,67.75,92.89,0.65,297.71,13.91,19.71
17-Aug-11,9.71,0,60.94,204.18,1.2,135.21,19.71,21.59
18-Aug-11,18.75,0,62.35,107.42,0.51,290.23,21.59,14.74
19-Aug-11,19.38,0,63.64,165.46,0.91,285.28,14.74,16.58
20-Aug-11,13,0.05,63.95,197.19,1.24,175.3,16.58,16.39
21-Aug-11,17.04,0,69.41,196.93,1.77,395.05,16.39,24.62
22-Aug-11,19.79,0,64.05,124.69,1.49,108.65,24.62,21.24
23-Aug-11,15.54,0,66.63,255.04,2.42,323.65,21.24,14.96
24-Aug-11,13.54,0.01,66.66,252.54,2.43,172.12,14.96,11.86
25-Aug-11,21.63,0,64.7,111.41,0.59,367.07,11.86,11.2
26-Aug-11,18,0,66.85,207.47,1.8,221.91,11.2,19.84
27-Aug-11,19.46,0,67.45,225.25,2.95,332.9,19.84,18.71
28-Aug-11,19.17,0,63.35,85.32,0.65,350.59,18.71,14.92
29-Aug-11,14.13,0,64.2,48.74,1.24,229.25,14.92,11.08
30-Aug-11,24.5,0,66.28,165.52,0.45,382.09,11.08,5.03
31-Aug-11,20,0,69.81,104.75,1.32,167.72,5.03,11.09
1-Sep-11,15.63,0.04,69.25,205.16,2.12,88.97,11.09,14.12
2-Sep-11,21.71,0,69.18,26.1,0.9,376,14.12,16.29
3-Sep-11,13.13,0,63.65,239.55,1.52,95.02,16.29,15.64
4-Sep-11,18.54,0,66.21,204.65,1.45,149.02,15.64,18.85
